IF,Shapre Fac,CF,RMS,Kur,Skew,Var,SD,Mean,Range,TARGET
0.913301075,1.001888305,0.911579735,20.65877724,-0.409730709,-0.618071491,1.60724673,1.267772349,-20.61984069,5.18079096,2UL
0.911582914,1.001854481,0.909895529,20.652665,-0.391716166,-0.632299152,1.577603493,1.256026868,-20.61443591,5.18482648,2UL
0.912583589,1.001854356,0.910894467,20.65393963,-0.369980332,-0.632261164,1.577691598,1.25606194,-20.61571077,5.18644068,2UL
0.910444062,1.001841645,0.90877043,20.66313581,-0.374010524,-0.626184936,1.568302994,1.252319046,-20.6251516,5.15254237,2UL
0.911732746,1.00186743,0.910033322,20.66904954,-0.412367695,-0.602998497,1.591110003,1.261392089,-20.63052347,5.17352704,2UL
0.909587742,1.001872712,0.90788753,20.66189449,-0.376911642,-0.631830563,1.594493086,1.262732389,-20.62327304,5.2889427,2UL
0.911799739,1.00185074,0.910115352,20.65920529,-0.385343259,-0.643275557,1.575427324,1.255160278,-20.6210411,5.17514124,2UL
0.911492694,1.00183314,0.909824858,20.65426921,-0.356083843,-0.641017302,1.559740354,1.248895654,-20.61647633,5.16303471,2UL
0.912005909,1.001888267,0.910287044,20.64378228,-0.390039902,-0.620563379,1.604882549,1.266839591,-20.60487477,5.16384181,2UL
0.912981585,1.001863941,0.911283007,20.65841865,-0.397708296,-0.617317937,1.586512423,1.259568348,-20.6199842,5.1622276,2UL
0.911152224,1.001881523,0.90944109,20.65766013,-0.403111962,-0.618090835,1.601317255,1.265431648,-20.61886527,5.16949152,2UL
0.911368394,1.001847922,0.909687362,20.65029318,-0.370257935,-0.630767445,1.571678145,1.253665882,-20.61220343,5.17756255,2UL
0.912517967,1.001877183,0.910808213,20.66652923,-0.389057842,-0.614738141,1.599006374,1.264518238,-20.62780706,5.17029863,2UL
0.911303355,1.001861066,0.90961051,20.66712211,-0.374114616,-0.629574769,1.585406503,1.259129264,-20.62873069,5.20338983,2UL
0.912973392,1.001883079,0.911257422,20.66785568,-0.388026106,-0.621899457,1.604220576,1.266578294,-20.62900962,5.23163842,2UL
0.911376274,1.001846367,0.90969664,20.67137588,-0.380156796,-0.62492838,1.573567317,1.254419115,-20.63327927,5.17594835,2UL
0.912873155,1.00185926,0.911179036,20.66786212,-0.385453053,-0.63464515,1.583986287,1.25856517,-20.6295065,5.14043583,2UL
0.913613388,1.001849557,0.911926728,20.65711184,-0.358122182,-0.638428807,1.574103707,1.254632897,-20.61897586,5.10088781,2UL
0.913269243,1.001856674,0.911576743,20.65707427,-0.374805634,-0.634402775,1.580138158,1.257035464,-20.61879189,5.1904762,2UL
0.913375745,1.001870398,0.911670558,20.66026036,-0.384904666,-0.630082993,1.592276768,1.261854495,-20.62168958,5.12267958,2UL
0.912667218,1.001822346,0.911007047,20.66556237,-0.358356344,-0.636766005,1.552277951,1.245904471,-20.62797107,5.15415658,2UL
